kalenderId;luftfeuchtigkeit;klavierstimmungVorher;klavierstimmungNachher;resonanzboden;stege;saiten;stimmwirbel;stimmstock;hammerkoepfe;mechanik;daempfer;tastatur;oberflaeche;rahmen;anmerkungen;oertlichkeit;transport;nacharbeit;zahlungsart;kostenvoranschlag
9788;;442,5;442,5; ;;;;;;;;;;;Alles ok!;;;;Bar bezahlt;false
9841;;442/442;442/442; ;;Pi.Waldhäusl originaler Bezug;;;;;;;;;Beide Instrumente ok!;;;;Bar bezahlt;false
9846;;445;445; ;;Im Bass und in der Mittellage sehr verstimmt;;;;;;;;;Sonst alles ok!;;;;Bar bezahlt;false
10081;Ok;447;445; ;;;;;;;;;;;alles Ok;;;;;false
10141;;;; ;;;;;;;;;;;;;;;;false
10148;;440;440; ;;;;;;;;;;;;;;;;false
10201;;;; ;;;;;;;;;;;;;;;;false
10203;;;; ;;;;;;;;;;;;;;;;false
10218;;;; ;;;;;;;;;;;Pedal macht Geräusche! Einzelne Tasten beim Silent funktionieren nicht;;;;;false
10261;;;; ;;;;;;;;;;;;;;;;false
10265;;;; ;;;;;;;;;;;;;;;;false
10321;;;; ;;;;;;;;;;;;;;;;false
10322;;;; ;;;;;;;;;;;Bitte Klavierbank mitnehmen!;;;;;false
10325;;;; ;;;;;;;;;;;;;;;;false
10502;;445;443; ;;;;;;;;;;;schwarze Tasten sind rauh;;;;Bar bezahlt;false
10505;;400;400; rissig;ok;verrostet;sehr locker;kleine Oberflächenrisse;stark abgenutzt;rep. Bed;am Ende;schlecht;schlecht;;;;;;;true
10561;;;; ;;;;;;;;;;;;;;;;false
10564;;;; ;;;;;;;;;;;;;;;Bar bezahlt;false
10611;;;; ;;;;;;;;;;;;;;;;false
10622;;434;434; ok;ok;schlecht;locker;;stark eingespielt;Rep bed.;;;auffrischen;;;;;;Bar bezahlt;true
10627;;;; ;;;;;;;;;;;;;;;;false
10632;;;; ;;;;;;;;;;;PEDAL MACHT WIEDER GERÄUSCHE !!!;;;;;false
10681;;440;440; kleiner Riss;;;;;;;;;;;;;;;Bar bezahlt;false
10685;;440;442; ;;;;;;;;;;;Disk. Und Bass stark verstimmt;;;;Bar bezahlt;false
10741;;;; ;;;;;;;;;;;;;;;;false
10921;50;400;400; ;;;;;;;;;;;Strunz;;;;Bar bezahlt;false
10926;;439;439; ;;;;;leicht eingespielt;;;;;;;;;;Bar bezahlt;false
10983;;442;443; ;;;;;stark eingespielt;;so eingestellt, dass sie wieder abhebt;;;;( Drabstoff);;;;Bar bezahlt;false
10985;;430;430; ;;;;;l. e.;eingespielt;;rep. Bed.;nuss;;;;;;Bar bezahlt;false
11100;;;; ;;;;;;;;;;;;;;;;false
11341;;440;440; ;;;;;;;;;;;;;;;;false
11342;;;; ;;;;;;;;;;;Hydrocellstab eingebaut;;;;;false
11347;;;440; ;;;;;;;;;;;ok;;;;Bar bezahlt;false
11401;;;; ;;;;;;;;;;;;;;;;false
11408;;442;442; ;;;;;;;;;;;Diskant stark verstimmt;;;;Bar bezahlt;false
11455;;;; ;;;;;;;;;;;;;;;;false
11463;;;; ;;eine neu aufgezogen;;;;;;;;;Bass Saite gerissen, wieder eingebaut am14.11.2014;;;;Bar bezahlt;false
11465;;;; ;;;teilweise locker;;eingespielt;;;;;;;;;;Bar bezahlt;false
11467;;438;438; ;;;;;;;;;;;;;;;Bar bezahlt;false
11762;;438;438; ;;;;;;;;;;;ok;;;;Bar bezahlt;false
11768;;440;440; ;;;;;;;;;;;ok;;;;Bar bezahlt;false
11821;;;; ;;;;;;;;;;;;;;;Bar bezahlt;false
11825;;;; ;;;;;;;;;;;;;;;;false
11828;;;; ;;;;;;;;;;;;;;;;false
11875;;;; ;;;;;;;;;;;;;;;;false
11881;;435;435; ;;;;;;;;;;;Kunde meldet sich wegen Rep.;;;;Bar bezahlt;false
11888;;441;441; ok;ok;original;neu;;ok aber nicht abgezogen;;Büschl getauscht;ok;nuss hell;;;;;;Bar bezahlt;false
11941;;;; ;;;;;;;;;;;;;;;;false
11952;;;; ;;;;;;;;;;;;;;;;false
12001;;443;443; ;;;;;;;;;;;ok;;;;Bar bezahlt;false
12181;;;; ;;;;;;;;;;;;;;;;false
12185;;438;438; ;;;;;;;;;;;Alles ok;;;;Bar bezahlt;false
12187;;445;443; ;;;;;;;;;;;Alles ok;;;;Bar bezahlt;false
12240;;;; ;;;;;;;;;;;;;;;;false
12241;;;; ;;;;;;;;;;;Bitte Klavierbank mitnehmen;;;;;false
12302;;443;443; ;;;;;;;;;;;;;;"Stoppleiste eingestellt und Selbstkleber montiert!
Ein Auslösepupperl geölt.";;false
12361;;440;440; ;;sehr stark verstimmt;;;leicht eingespielt;;;;;;;;;;Bar bezahlt;false
12367;;;; ;;;;;;;;;;;;;;mittleres Pedal geölt, Schrauben diverser Pedalteile nachgezogen;;false
12369;;;; ;;;;;;;;;;;;;;;;false
12602;;;; ;;;;;;;;;;;zwei Saiten neu augezogen, dies und das;;;;Bar bezahlt;false
12605;48;;; ;;;;;;;;;;;alle Schrauben nachgezogen;;;;;false
